
0.01	600	2.4955	3.6057	0.001666667
0.018	600	2.5089	4.898	0.003
0.01	800	2.1863	2.7688	0.00125
0.018	800	2.8211	4.6922	0.00225
0.01	700	2.3699	3.4275	0.001428571
0.018	700	2.694	5.0354	0.002571429
0.014	600	2.6525	4.5296	0.002333333
0.014	800	2.654	4.0083	0.00175
0.014	700	2.6823	4.5092	0.002
0.014	700	2.6823	4.5092	0.002
0.014	700	2.6823	4.5092	0.002
0.01	600	2.4955	3.6057	0.001666667
0.018	600	2.5089	4.898	0.003
0.01	800	2.1863	2.7688	0.00125
0.018	800	2.8211	4.6922	0.00225
0.01	700	2.3699	3.4275	0.001428571
0.018	700	2.694	5.0354	0.002571429
0.014	600	2.6525	4.5296	0.002333333
0.014	800	2.654	4.0083	0.00175
0.014	700	2.6823	4.5092	0.002
0.014	700	2.6823	4.5092	0.002
0.014	700	2.6823	4.5092	0.002
0.01	600	2.4955	3.6057	0.001666667
0.018	600	2.5089	4.898	0.003
0.01	800	2.1863	2.7688	0.00125
0.018	800	2.8211	4.6922	0.00225
0.01	700	2.3699	3.4275	0.001428571
0.018	700	2.694	5.0354	0.002571429
0.014	600	2.6525	4.5296	0.002333333
0.014	800	2.654	4.0083	0.00175
0.014	700	2.6823	4.5092	0.002
0.014	700	2.6823	4.5092	0.002
0.014	700	2.6823	4.5092	0.002
0.0113	656.58	2.5428	3.9493	0.001721039
0.0148	792.37	2.714	4.2448	0.001867814
0.0167	714.55	2.7381	4.8924	0.002337135
0.012	777.02	2.4918	3.6467	0.001544362
0.0159	721.45	2.74	4.7781	0.002203895
0.0156	767.55	2.7537	4.5503	0.002032441
0.0149	755.57	2.7214	4.4741	0.001972021
0.0143	682.41	2.6902	4.6022	0.002095514
0.0129	699.79	2.6272	4.2709	0.00184341
0.0171	701.06	2.7182	4.9673	0.002439164
0.0141	651.3	2.6775	4.6005	0.002164901
0.0171	649.76	2.6498	4.9735	0.002631741
0.0107	786.88	2.3194	3.1508	0.001359801
0.0124	753.25	2.5499	3.8948	0.0016462
0.0162	790.49	2.7787	4.5065	0.002049362
0.0159	755.62	2.7581	4.6525	0.002104232
0.0179	724.4	2.7338	4.9851	0.00247101
0.0107	799.32	2.2957	3.0434	0.001338638
0.0168	700.88	2.723	4.9342	0.002396987
0.0148	787.55	2.7117	4.2653	0.001879246
0.017	685.83	2.7018	4.9723	0.002478748
0.0115	649.57	2.5625	4.0144	0.001770402
0.0116	714.85	2.5121	3.8549	0.001622718
0.0127	645.52	2.6332	4.3222	0.001967406
0.0142	644.43	2.6755	4.6065	0.002203498
0.0159	640.78	2.6714	4.8516	0.002481351
0.0112	643.96	2.5439	3.9326	0.001739238
0.0173	671.81	2.6763	4.9982	0.002575133
0.0162	603.64	2.6163	4.8112	0.002683719
0.0172	746.91	2.7679	4.8611	0.002302821
0.016	690.84	2.7183	4.8523	0.002316021
0.0114	779.22	2.4116	3.4195	0.001463001
0.0109	717.41	2.4445	3.645	0.001519354
0.0156	663.14	2.6958	4.8294	0.002352444
0.0174	690.01	2.6973	5.0036	0.002521703
0.0161	678.71	2.7071	4.8813	0.002372147
0.0137	627.14	2.6621	4.5213	0.00218452
0.0176	634.49	2.6005	4.9837	0.002773881
0.0178	757.75	2.7767	4.8755	0.00234906
0.0107	683.91	2.4673	3.7176	0.001564533
0.0123	680.65	2.599	4.1767	0.001807096
0.0154	662.02	2.6955	4.7983	0.002326214
0.0137	650.7	2.6663	4.5144	0.002105425
0.0135	630.53	2.658	4.4778	0.002141056
0.011	676.25	2.5053	3.8374	0.001626617
0.0126	789.53	2.5323	3.7084	0.001595886
0.0128	716.8	2.6142	4.1939	0.001785714
0.0118	669.2	2.5689	4.0594	0.001763299
0.0116	652.01	2.571	4.0514	0.001779114
0.0173	779.25	2.7974	4.727	0.002220083
0.0164	734.06	2.7536	4.8018	0.00223415
0.0127	716.36	2.6077	4.1716	0.001772852
0.0127	621.73	2.6359	4.3216	0.002042687
0.0124	734.95	2.5715	4.0109	0.00168719
0.0104	714.68	2.3898	3.4854	0.001455197
0.0134	634.07	2.6561	4.4595	0.002113331
0.0157	753.05	2.7503	4.6251	0.002084855
0.0153	640.35	2.6781	4.7822	0.002389318
0.0115	694.7	2.529	3.9226	0.001655391
0.015	613.43	2.6572	4.706	0.002445267
0.0115	714.89	2.5064	3.8367	0.001608639
0.0149	758.51	2.7232	4.4669	0.001964378
0.0141	749.33	2.6806	4.3411	0.001881681
0.0178	779.02	2.7996	4.7835	0.002284922
0.0143	612.17	2.6603	4.5937	0.002335952
0.0113	718.5	2.4804	3.7525	0.001572721
0.0119	668.19	2.5766	4.0882	0.001780931
0.0117	728.02	2.5123	3.838	0.001607099
